times,Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_675,Triplet_Variability_500,Triplet_Variability_440,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,day,hour
2016-02-12 10:34:02,43,43.440301,0.030968,0.045044,0.054852,0.074326,0.114094,0.132223,0.164151,0.184611,3.3565949999999996,0.000281,0.007412,0.006705,0.006904,0.004975,0.004992,0.002224,0.001632,0.029174000000000002,1.312815,1.2946309999999999,1.361025,1.3408280000000001,1.320904,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,79.077764,5.144563,23.4,260.241786,0.097334,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160212,10:34:02
2016-05-02 10:28:42,123,123.43659699999999,0.060416,0.065613,0.07265,0.086639,0.12131600000000001,0.13474,0.164447,0.181594,3.4402589999999997,0.010604,0.008739,0.010325,0.010284999999999999,0.012459999999999999,0.0111,0.015749000000000003,0.017379,0.22913499999999998,0.9361940000000001,1.0835780000000002,1.047716,0.941673,1.183025,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.35341600000001,6.388063,22.5,253.100361,0.09774400000000001,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160502,10:28:42
2016-05-22 10:33:43,143,143.440081,0.030832,0.042119,0.050398,0.067789,0.106851,0.123831,0.15484900000000001,0.173095,3.1861479999999998,0.005629,0.005564,0.003979,0.0033130000000000004,0.001474,0.001504,0.000725,0.00033999999999999997,0.060763,1.349105,1.3205959999999999,1.427201,1.377009,1.3277139999999998,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.282354,6.340375,23.7,250.001486,0.10044,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160522,10:33:43
2016-05-25 10:34:39,146,146.440729,0.054787,0.060292,0.067619,0.079567,0.107701,0.11734800000000001,0.142431,0.154071,2.8399650000000003,0.010095999999999999,0.007906999999999999,0.008327,0.008202,0.009724,0.008881,0.015806999999999998,0.018934,0.173255,0.8381139999999999,0.996168,0.925351,0.854628,1.0834059999999999,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.268413,6.331102,22.0,250.071639,0.101021,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160525,10:34:39
2016-06-01 10:36:41,153,153.442141,0.01977,0.027635000000000003,0.03453,0.046303,0.073706,0.083242,0.10547899999999999,0.11534100000000001,3.1085279999999997,0.00033999999999999997,0.00019099999999999998,0.000302,0.000822,0.000699,0.001102,0.001248,0.0009,0.076592,1.333393,1.276859,1.401095,1.3899,1.299349,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.28329000000001,6.340999,23.5,250.235327,0.102376,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160601,10:36:41
2016-06-04 10:37:39,156,156.442813,0.021204,0.029335000000000003,0.036864,0.050872,0.083766,0.0962,0.12241400000000001,0.136225,3.4278370000000002,0.000525,0.000533,0.00035099999999999997,0.0009449999999999999,0.000681,0.000364,0.0020350000000000004,0.00027,0.08279500000000001,1.448965,1.351046,1.518546,1.50416,1.3820270000000001,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,81.269533,6.331846,23.2,250.30548,0.10295699999999999,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160604,10:37:39
2016-06-21 10:52:15,173,173.452951,0.024562,0.030313999999999997,0.036181,0.045014,0.064121,0.07035,0.08797200000000001,0.09481,2.5084150000000003,0.00044,0.00045999999999999996,0.00031099999999999997,0.00035299999999999996,0.000346,0.000381,0.000624,0.0013160000000000001,0.032836000000000004,1.008502,1.127407,1.066546,1.0491629999999998,1.19115,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,79.063265,5.1381760000000005,21.8,251.96323900000002,0.10650599999999999,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160621,10:52:15
2016-06-24 10:49:05,176,176.450752,0.076848,0.095389,0.103592,0.11227000000000001,0.131217,0.137541,0.15876300000000002,0.164485,2.555685,0.000324,0.0032340000000000003,0.0008539999999999999,0.001644,0.002816,0.0038659999999999996,0.004340999999999999,0.002039,0.06029400000000001,0.430462,0.679791,0.482292,0.434216,0.7173689999999999,lev15,624,Alta_Floresta,-9.871339,-56.104453,277.0,79.887975,5.528389,21.0,252.618709,0.107205,22:08:2018,9,1.6426,1.0197,0.8679,0.6722,0.502,0.4375,0.3789,0.3392,0.9354,20160624,10:49:05
2016-11-01 10:35:05,306,306.44102999999996,0.154788,0.21609,0.254863,0.34274299999999996,0.49969399999999997,0.572064,0.6615800000000001,0.7162270000000001,4.449186,0.003933,0.007468000000000001,0.009711,0.010726000000000001,0.010862,0.013775,0.017786,0.023583,0.06324099999999999,1.192008,1.021672,1.203071,1.2125489999999999,0.887558,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,71.38679599999999,3.107125,25.5,271.900918,0.122748,21:12:2018,9,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,0.3797,0.3398,0.9375,20161101,10:35:05
2017-01-10 10:54:03,10,10.454201,0.046001,0.060758000000000006,0.066447,0.0793,0.107402,0.11548399999999999,0.13439,0.14123,4.0656989999999995,0.002648,0.0048590000000000005,0.005987,0.008584,0.010111,0.009347,0.010499,0.012734,0.08242100000000001,0.838249,0.8202860000000001,0.8982399999999999,0.867964,0.801994,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,71.99159,3.2058470000000003,24.2,261.821084,0.10044,21:12:2018,9,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,0.3797,0.3398,0.9375,20170110,10:54:03
2017-09-24 10:44:49,267,267.447789,0.378619,0.585043,0.723074,1.07707,1.7552830000000001,,,,3.551354,0.076324,0.08161900000000001,0.069351,0.064828,0.059019,,,,0.49116899999999997,1.59648,,1.631375,1.59648,,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,72.986757,3.3833580000000003,24.2,274.27029500000003,0.192916,21:12:2018,6,1.6398,1.0204,0.8712,0.6741,0.4997,,,,0.9375,20170924,10:44:49
2017-09-29 10:46:11,272,272.448738,0.1806,0.376165,0.503844,0.807702,1.335564,1.605133,,,3.6173260000000003,0.022422,0.015449000000000001,0.005011,0.010763,0.032639,0.039202999999999995,,,0.100788,1.6949290000000001,1.407241,1.611418,1.7517029999999998,,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,71.902109,3.19083,24.0,274.372437,0.17858,21:12:2018,7,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,,,0.9375,20170929,10:46:11
2017-10-19 10:35:57,292,292.44163199999997,0.061225999999999996,0.09981699999999999,0.122119,0.177448,0.29575500000000005,0.363166,0.45964499999999997,0.533519,3.3936940000000004,0.00037999999999999997,0.0008060000000000001,0.000333,0.000535,0.000775,0.001467,0.0011279999999999999,0.002673,0.042024,1.6027959999999999,1.606056,1.672568,1.594467,1.514545,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,72.012124,3.209314,24.3,273.979763,0.131134,21:12:2018,9,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,0.3797,0.3398,0.9375,20171019,10:35:57
2017-10-22 10:53:48,295,295.454028,0.241272,0.317775,0.367004,0.494845,0.760039,0.911956,1.115933,1.273201,4.104935,0.008379000000000001,0.006753,0.005522999999999999,0.003699,0.002095,0.002045,0.009743,0.007,0.030699,1.3372540000000002,1.3986020000000001,1.423708,1.3130870000000001,1.31312,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,67.421876,2.5904700000000003,24.8,273.498025,0.129191,21:12:2018,9,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,0.3797,0.3398,0.9375,20171022,10:53:48
2017-10-29 10:37:02,302,302.442384,0.8657100000000001,0.852389,0.8550549999999999,0.87716,0.9490639999999999,0.988931,1.045823,1.084424,4.296355999999999,0.017735,0.01934,0.015144,0.013144999999999999,0.010652,0.012228,0.018934,0.012331,0.078372,0.215285,0.354103,0.27618200000000004,0.189743,0.362795,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,71.055672,3.05572,23.9,272.380457,0.12468199999999999,21:12:2018,9,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,0.3797,0.3398,0.9375,20171029,10:37:02
2017-12-21 10:52:03,355,355.452812,0.043123,0.064634,0.073072,0.091417,0.12795299999999998,0.14281300000000002,0.168293,0.181921,4.440319000000001,0.0012259999999999999,0.0010630000000000001,0.0007830000000000001,0.00047000000000000004,0.0014089999999999999,0.000225,0.00037999999999999997,0.001419,0.041178,0.998291,1.000286,1.05225,1.011034,0.9583969999999999,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,70.19752,2.9304490000000003,25.7,263.460796,0.102376,21:12:2018,9,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,0.3797,0.3398,0.9375,20171221,10:52:03
2018-03-03 10:59:46,62,62.45817099999999,0.009682,0.021685,0.024547,0.030846,0.046842,0.050339,0.061003999999999996,0.063669,4.03196,0.000919,0.0006799999999999999,0.000977,0.000863,0.0014960000000000002,0.0009710000000000001,0.0011330000000000001,0.002082,0.055217999999999996,1.103917,0.968226,1.1833850000000001,1.1689129999999999,0.941213,lev15,635,Alta_Floresta,-9.871339,-56.104453,277.0,73.24454899999999,3.432722,24.1,260.440823,0.097588,21:12:2018,9,1.6398,1.0204,0.8712,0.6741,0.4997,0.4385,0.3797,0.3398,0.9375,20180303,10:59:46
2018-04-27 10:41:13,117,117.44528899999999,0.022188999999999997,0.028443,0.033882999999999996,0.044839,0.071139,0.084863,0.10867,0.12490899999999999,4.075598,0.0008460000000000001,0.0008039999999999999,0.001039,0.001391,0.0027649999999999997,0.004052,0.005407,0.008199,0.00805,1.360394,1.556851,1.48623,1.336201,1.529955,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,78.219789,4.791980000000001,23.3,254.400618,0.097245,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180427,10:41:13
2018-05-22 10:36:35,142,142.442072,0.052074,0.05485,0.059559,0.069714,0.09590900000000001,0.11003900000000001,0.133604,0.148715,3.9199,0.002745,0.001871,0.002325,0.001872,0.002012,0.002682,0.002234,0.0027129999999999997,0.043325,0.909666,1.218148,1.056716,0.8606309999999999,1.192593,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,80.607508,5.920039,22.8,250.001532,0.10044,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180522,10:36:35
2018-05-25 10:33:55,145,145.44021999999998,0.028043000000000002,0.043306,0.053644000000000004,0.07496699999999999,0.11891600000000001,0.141874,0.174946,0.20011400000000001,3.7410669999999997,0.000583,0.0009550000000000001,0.0016129999999999999,0.0024100000000000002,0.0040420000000000005,0.005147,0.005558,0.007006,0.051024,1.431783,1.416498,1.486,1.430585,1.3577489999999999,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,81.40159200000001,6.420794,22.6,250.071627,0.101021,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180525,10:33:55
2018-06-01 10:35:50,152,152.441551,0.014391999999999999,0.021453,0.026175999999999998,0.035917000000000004,0.059737,0.072836,0.095426,0.112278,3.071176,0.000713,0.000677,0.000532,0.000699,0.001017,0.0017850000000000001,0.002235,0.004370000000000001,0.068589,1.513592,1.720749,1.645447,1.4859719999999998,1.7105869999999999,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,81.440345,6.447361,21.9,250.235313,0.102376,24:12:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180601,10:35:50
2018-06-04 10:36:30,155,155.442014,0.023273,0.032693,0.039306,0.053788,0.077611,0.09328099999999999,0.110796,0.132681,3.068524,0.0032240000000000003,0.0019920000000000003,0.004961999999999999,0.012903999999999999,0.0061909999999999995,0.013105,0.006282,0.029411,0.06477999999999999,1.248111,1.3032700000000002,1.263903,1.219776,1.376225,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,81.49271999999999,6.483611,18.7,250.305462,0.10295699999999999,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180604,10:36:30
2018-06-09 10:58:49,160,160.457512,0.023583,0.033677,0.040416,0.055510000000000004,0.086476,0.10314300000000001,0.128236,0.145084,3.36555,0.004259000000000001,0.005092,0.003518,0.003481,0.002501,0.003715,0.0024980000000000002,0.0038659999999999996,0.024281999999999998,1.37742,1.446159,1.440451,1.36723,1.35028,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,76.90856600000001,4.3377419999999995,21.5,250.422721,0.10392699999999999,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180609,10:58:49
2018-06-14 10:39:29,165,165.444086,0.016096,0.023962999999999998,0.029557,0.040933,0.06574400000000001,0.078854,0.099444,0.11209300000000001,2.233431,0.001091,0.000822,0.0009789999999999998,0.0013650000000000001,0.001511,0.002045,0.002411,0.005016,0.045429000000000004,1.447285,1.519356,1.527141,1.437791,1.3945670000000001,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,81.46690600000001,6.465694999999999,19.8,250.539303,0.10489200000000001,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180614,10:39:29
2018-06-16 10:42:45,167,167.446354,0.035836,0.044738,0.051315999999999994,0.06525700000000001,0.095586,0.111501,0.13541199999999998,0.15177100000000002,2.800422,0.0016879999999999998,0.0009019999999999999,0.001111,0.000968,0.001247,0.001629,0.0019920000000000003,0.0034590000000000003,0.031497000000000004,1.14523,1.278665,1.244531,1.120008,1.21939,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,80.864133,6.073268,18.5,250.868546,0.10533699999999999,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180616,10:42:45
2018-06-19 10:43:58,170,170.447199,0.021144999999999997,0.028189,0.032511,0.040726,0.059196000000000006,0.068676,0.08473,0.094287,2.35717,0.000242,0.000618,0.00021600000000000002,0.000575,0.001713,0.002686,0.004497999999999999,0.006940000000000001,0.031201,1.106163,1.317879,1.214967,1.079693,1.256992,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,80.75834300000001,6.009167,19.2,251.52468100000002,0.10603800000000001,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180619,10:43:58
2018-06-21 10:41:23,172,172.445405,0.016115,0.021409,0.024885,0.030437,0.043864999999999994,0.050016000000000005,0.06221,0.068152,2.919195,0.000897,0.000822,0.000661,0.001078,0.0014349999999999999,0.001999,0.003861,0.006032,0.038425,1.0411030000000001,1.285823,1.1607399999999999,1.022504,1.231576,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,81.424116,6.43621,21.7,251.961589,0.106504,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180621,10:41:23
2018-07-19 10:42:28,200,200.446157,0.017749,0.024846,0.028739999999999998,0.035295,0.050008,0.057139999999999996,0.069332,0.07459400000000001,2.184684,0.000594,0.000563,0.000998,0.001428,0.0033490000000000004,0.005602,0.008693000000000001,0.013313,0.010920000000000001,1.019211,1.200964,1.12226,0.9982030000000001,1.0628790000000001,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,81.5477,6.522094,20.5,258.21355,0.12046199999999999,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180719,10:42:28
2018-07-26 10:41:25,207,207.445428,0.017591,0.025273,0.029302999999999996,0.036773,0.052646000000000005,0.061085,0.075033,0.08291699999999999,1.594103,0.000443,0.000306,0.00037400000000000004,0.000512,0.001046,0.001536,0.002867,0.0049,0.02872,1.082415,1.3018969999999999,1.177402,1.054949,1.212932,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,81.500999,6.489378,18.1,259.94795,0.13378299999999999,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180726,10:41:25
2018-07-29 10:41:02,210,210.445162,0.035515,0.052877,0.063983,0.086964,0.13384200000000002,0.156845,0.191447,0.21606599999999998,3.1501919999999997,0.001756,0.003075,0.003849,0.00615,0.008326,0.007845,0.010244,0.013466999999999998,0.107774,1.32336,1.31405,1.3765969999999998,1.326694,1.265938,lev15,636,Alta_Floresta,-9.871339,-56.104453,277.0,81.416591,6.431051999999999,22.0,260.69127599999996,0.139492,07:11:2019,9,1.6379,1.0212,0.8715,0.6755,0.499,0.4387,0.3799,0.3402,0.9353,20180729,10:41:02
